"siteID","watershed","month","date","d18OWater","d2HWater","yday","dexcess","lcexcess","TWI","ContributingArea_ha","Elevation_m","Slope_prc","long","lat","s1","s2","s1_rhat","s2_rhat","s1_n.eff","s2_n.eff"
"02M11","N02B","Jul",2021-07-13,-5.58,-35.42,194,9.22,-1.44,14.5844211578369,2.6741,401.544860839844,1.42006358225935,-96.593682,39.079249,55.640828279503,44.359171720497,1.04212896090693,1.01680185725385,79,150
"04M01","N04D","Jun",2021-06-07,-5.92,-37.15,158,10.21,-0.48,16.1275215148926,39.7602,355.157409667969,4.50414143049234,-96.586195,39.089842,61.2256743760218,38.7743256239782,1.00232740080064,1.00225479945107,1900,1400
"04M01","N04D","Jul",2021-07-13,-5.82,-36.99,194,9.57,-1.11,16.1275215148926,39.7602,355.157409667969,4.50414143049234,-96.586195,39.089842,55.9785216297024,44.0214783702976,1.00421593673036,1.00545737999339,1100,430
"04M01","N04D","Aug",2021-08-09,-4.64,-29.25,221,7.87,-2.73,16.1275215148926,39.7602,355.157409667969,4.50414143049234,-96.586195,39.089842,51.6702122241517,48.3297877758483,1.00831898752202,1.01419047569639,400,230
"04M02","N04D","Jun",2021-06-07,-5.96,-38,158,9.2,-1.49,15.9580707550049,30.2096,362.072326660156,4.05573107937911,-96.58481,39.08775,54.4468177414284,45.5531822585716,1.00176527461193,1.00185010577228,2100,1900
"04M02","N04D","Jul",2021-07-13,-5.7,-36.3,194,9.3,-1.37,15.9580707550049,30.2096,362.072326660156,4.05573107937911,-96.58481,39.08775,57.0863001069969,42.913699893003,1.03728644649946,1.00871458738653,120,260
"04M02","N04D","Aug",2021-08-09,-5.1,-32.4,221,8.4,-2.23,15.9580707550049,30.2096,362.072326660156,4.05573107937911,-96.58481,39.08775,47.3405569952907,52.6594430047093,1.01100741579547,1.00999322946384,340,300
"04M03","N04D","Jun",2021-06-07,-5.93,-37.27,158,10.17,-0.52,17.7147426605225,29.302,364.991577148438,0.680164764607852,-96.58366,39.08685,59.1877236793884,40.8122763206116,1.00081063333153,1.00503039373362,7500,1600
"04M03","N04D","Jul",2021-07-13,-5.49,-35.46,194,8.46,-2.2,17.7147426605225,29.302,364.991577148438,0.680164764607852,-96.58366,39.08685,52.3847677159985,47.6152322840015,1.01388224540116,1.02306656129684,160,110
"04M03","N04D","Aug",2021-08-09,-4.88,-30.98,221,8.06,-2.55,17.7147426605225,29.302,364.991577148438,0.680164764607852,-96.58366,39.08685,45.2442270816795,54.7557729183205,1.04683619648216,1.08906506281289,51,31
"04M04","N04D","Jun",2021-06-07,-5.91,-37.19,158,10.09,-0.6,15.8990774154663,28.413,367.72216796875,4.04636632071282,-96.58345,39.08576,57.5139798736997,42.4860201263003,1.01099092733998,1.00564912435036,340,510
