siteID,date,month,watershed,d18O,d2H,dexcess,lcexcess,elevation_m,contributing_area_ha,slope_pct,twi,lon,lat,flowing,prior,s1,s2,s1_rhat,s2_rhat,s1_neff,s2_neff
04M10,2021-06-07,6,N04D,-5.98,-37.31,10.53,-0.17,393.94,6.59,2.62,14.87,-96.58289,39.077433,TRUE,"c(0.5, 0.5)",0.6230897183573182,0.37691028164268175,1.002573279511105,1.0051007212976402,1400,670
04M11,2021-06-07,6,N04D,-5.96,-37.22,10.46,-0.24,404.72,2.88,3.46,13.77,-96.583835,39.074718,TRUE,"c(0.5, 0.5)",0.6086436341136108,0.3913563658863892,1.003241454960452,1.0058214711381914,1900,670
04M12,2021-06-07,6,N04D,-5.9,-37.2,10,-0.69,407.25,2.25,1.46,14.39,-96.584063,39.073158,TRUE,"c(0.5, 0.5)",0.592374313407093,0.407625686592907,1.0011036065022327,1.012048177518604,6600,410
04T02,2021-06-07,6,N04D,-5.94,-37.18,10.34,-0.36,386.72,3.7,2.59,14.31,-96.580865,39.079765,TRUE,"c(0.5, 0.5)",0.598950842006614,0.40104915799338603,1.0014721861933993,1.0009753438333726,3000,7500
04W02,2021-06-07,6,N04D,-5.81,-36.49,9.99,-0.7,370.89,6.11,4.75,14.2,-96.58691,39.08611,TRUE,"c(0.5, 0.5)",0.5925018785866664,0.40749812141333364,1.0015312599350483,1.0024018968423563,2700,1300
04W03,2021-06-07,6,N04D,-5.9,-36.89,10.31,-0.38,382.26,4.2,5.58,13.67,-96.58803867,39.08385954,TRUE,"c(0.5, 0.5)",0.6073448128204867,0.39265518717951337,1.000958227686229,1.0014166034472745,7500,6900
04W03,2021-07-13,7,N04D,-5.84,-37.02,9.7,-0.99,382.26,4.2,5.58,13.67,-96.58803867,39.08385954,FALSE,"c(0.5, 0.5)",0.5596058591642599,0.4403941408357402,1.0081701321041565,1.0068169688227395,350,330
04W03,2021-08-09,8,N04D,-4.76,-30,8.08,-2.53,382.26,4.2,5.58,13.67,-96.58803867,39.08385954,FALSE,"c(0.5, 0.5)",0.495795241055321,0.504204758944679,1.002353880162561,1.0254043545174643,1300,320
04W04,2021-06-07,6,N04D,-5.85,-36.79,10.01,-0.68,390.92,2.98,3.88,13.69,-96.58868,39.08228,TRUE,"c(0.5, 0.5)",0.5998544683406477,0.4001455316593523,1.0009835722544522,1.000855682635669,7500,7500
04W04,2021-07-13,7,N04D,-5.96,-37.82,9.86,-0.84,390.92,2.98,3.88,13.69,-96.58868,39.08228,TRUE,"c(0.5, 0.5)",0.5423757192863604,0.4576242807136396,1.0031752500479214,1.0069488913822107,840,390
